ase_id,chr,strand,out_donor,out_acceptor,in_junction
chr1@+@1309603^1309681-@1309603^1309706-,chr1,+,1309603^,1309681-,1309603^1309706-
chr1@-@1323181^1321984-@1323181^1321980-,chr1,-,1323181^,1321984-,1323181^1321980-
chr1@-@1324581^1321096-@1324581^1321093-,chr1,-,1324581^,1321096-,1324581^1321093-
chr1@-@1320996^1320682-@1320996^1320529-,chr1,-,1320996^,1320682-,1320996^1320529-
chr1@-@1320456^1319843-@1320456^1319524-,chr1,-,1320456^,1319843-,1320456^1319524-
chr1@-@1320456^1319524-@1320456^1319433-,chr1,-,1320456^,1319524-,1320456^1319433-
chr1@-@1319296^1315618-@1319296^1315552-,chr1,-,1319296^,1315618-,1319296^1315552-
chr1@-@1314301^1314105-@1314301^1313921-,chr1,-,1314301^,1314105-,1314301^1313921-
chr1@-@1312593^1312501-@1312593^1312368-,chr1,-,1312593^,1312501-,1312593^1312368-
chr1@-@1354030^1353946-@1354030^1353928-,chr1,-,1354030^,1353946-,1354030^1353928-
chr1@-@1398233^1395537-@1398233^1395514-,chr1,-,1398233^,1395537-,1398233^1395514-
chr1@-@1392790^1391575-@1392790^1390865-,chr1,-,1392790^,1391575-,1392790^1390865-
chr1@-@1393396^1392803-@1393396^1390865-,chr1,-,1393396^,1392803-,1393396^1390865-
chr1@+@1399689^1399981-@1399689^1400158-,chr1,+,1399689^,1399981-,1399689^1400158-
chr1@+@1435821^1436927-@1435821^1437322-,chr1,+,1435821^,1436927-,1435821^1437322-
chr1@+@1516088^1517167-@1516088^1517311-,chr1,+,1516088^,1517167-,1516088^1517311-
chr1@+@1616614^1623389-@1616614^1623431-,chr1,+,1616614^,1623389-,1616614^1623431-
chr1@+@1616614^1623389-@1616614^1623431-,chr1,+,1616614^,1623389-,1616614^1623431-
chr1@+@1624901^1624965-@1624901^1624991-,chr1,+,1624901^,1624965-,1624901^1624991-
chr1@+@1625428^1625546-@1625428^1625558-,chr1,+,1625428^,1625546-,1625428^1625558-
chr1@+@1625653^1626367-@1625653^1626650-,chr1,+,1625653^,1626367-,1625653^1626650-
chr1@+@1625428^1625546-@1625428^1626650-,chr1,+,1625428^,1625546-,1625428^1626650-
chr1@+@1625428^1625546-@1625428^1625558-1625653^1626650-,chr1,+,1625428^,1625546-,1625428^1625558-1625653^1626650-
chr1@+@1628722^1629034-@1628722^1629133-,chr1,+,1628722^,1629034-,1628722^1629133-
chr1@+@1632374^1632710-@1632374^1632783-,chr1,+,1632374^,1632710-,1632374^1632783-
chr1@+@1632913^1632981-@1632913^1633188-,chr1,+,1632913^,1632981-,1632913^1633188-
chr1@-@1716346^1712427-@1716346^1712400-,chr1,-,1716346^,1712427-,1716346^1712400-
chr1@-@1708180^1707599-@1708180^1707584-,chr1,-,1708180^,1707599-,1708180^1707584-
chr1@-@1923367^1923145-@1923367^1923115-,chr1,-,1923367^,1923145-,1923367^1923115-
chr1@+@2027659^2028071-@2027659^2028155-,chr1,+,2027659^,2028071-,2027659^2028155-
chr1@+@2029266^2029591-@2029266^2029620-,chr1,+,2029266^,2029591-,2029266^2029620-
chr1@+@2029266^2029551-@2029266^2029591-,chr1,+,2029266^,2029551-,2029266^2029591-
chr1@+@2029266^2029551-@2029266^2029620-,chr1,+,2029266^,2029551-,2029266^2029620-
chr1@+@2144341^2145338-@2144341^2145389-,chr1,+,2144341^,2145338-,2144341^2145389-
chr1@-@2385807^2385158-@2385807^2385065-,chr1,-,2385807^,2385158-,2385807^2385065-
chr1@+@2400935^2402097-@2400935^2402207-,chr1,+,2400935^,2402097-,2400935^2402207-
chr1@-@2408452^2406955-@2408452^2406895-,chr1,-,2408452^,2406955-,2408452^2406895-
chr1@-@2526464^2521941-@2526464^2521315-,chr1,-,2526464^,2521941-,2526464^2521315-
chr1@-@2526464^2521941-@2526464^2521800-2521718^2521315-,chr1,-,2526464^,2521941-,2526464^2521800-2521718^2521315-
chr1@-@2511338^2510782-@2511338^2510748-,chr1,-,2511338^,2510782-,2511338^2510748-
chr1@+@2560714^2561673-@2560714^2561777-,chr1,+,2560714^,2561673-,2560714^2561777-
chr1@+@2560714^2561494-@2560714^2561673-,chr1,+,2560714^,2561494-,2560714^2561673-
chr1@+@2560714^2561494-@2560714^2561777-,chr1,+,2560714^,2561494-,2560714^2561777-
chr1@+@2587792^2588336-@2587792^2588390-,chr1,+,2587792^,2588336-,2587792^2588390-
chr1@+@2588453^2588530-@2588453^2588550-,chr1,+,2588453^,2588530-,2588453^2588550-
chr1@+@2588625^2588922-@2588625^2588954-,chr1,+,2588625^,2588922-,2588625^2588954-
chr1@+@2588453^2588954-@2588453^2588957-,chr1,+,2588453^,2588954-,2588453^2588957-
chr1@-@2594385^2593962-@2594385^2593933-,chr1,-,2594385^,2593962-,2594385^2593933-
chr1@+@3244137^3385149-@3244137^3385152-,chr1,+,3244137^,3385149-,3244137^3385152-
chr1@+@3412800^3414560-@3412800^3414563-,chr1,+,3412800^,3414560-,3412800^3414563-
chr1@-@3743061^3742960-@3743061^3742911-,chr1,-,3743061^,3742960-,3743061^3742911-
chr1@-@3743061^3742983-@3743061^3742911-,chr1,-,3743061^,3742983-,3743061^3742911-
chr1@-@3743061^3742957-@3743061^3742911-,chr1,-,3743061^,3742957-,3743061^3742911-
chr1@-@3743061^3742983-@3743061^3742960-,chr1,-,3743061^,3742983-,3743061^3742960-
chr1@-@3743061^3742960-@3743061^3742957-,chr1,-,3743061^,3742960-,3743061^3742957-
chr1@-@3743061^3742983-@3743061^3742957-,chr1,-,3743061^,3742983-,3743061^3742957-
chr1@-@3740233^3738513-@3740233^3737854-,chr1,-,3740233^,3738513-,3740233^3737854-
chr1@+@3755567^3756733-@3755567^3756752-,chr1,+,3755567^,3756733-,3755567^3756752-
chr1@+@3762712^3762967-@3762712^3763108-,chr1,+,3762712^,3762967-,3762712^3763108-
chr1@-@3838964^3837519-@3838964^3837345-,chr1,-,3838964^,3837519-,3838964^3837345-
chr1@+@3858866^3865762-@3858866^3865812-,chr1,+,3858866^,3865762-,3858866^3865812-
chr1@+@3858844^3865643-@3858844^3865762-,chr1,+,3858844^,3865643-,3858844^3865762-
chr1@+@3858844^3865762-@3858844^3865812-,chr1,+,3858844^,3865762-,3858844^3865812-
chr1@+@3858844^3865643-@3858844^3865812-,chr1,+,3858844^,3865643-,3858844^3865812-
chr1@+@4416548^4417798-@4416548^4417821-,chr1,+,4416548^,4417798-,4416548^4417821-
chr1@+@4416548^4422760-@4416548^4423054-,chr1,+,4416548^,4422760-,4416548^4423054-
chr1@+@4416548^4422760-@4416548^4422876-,chr1,+,4416548^,4422760-,4416548^4422876-
chr1@+@4416548^4422876-@4416548^4423054-,chr1,+,4416548^,4422876-,4416548^4423054-
chr1@-@5907115^5905783-@5907115^5905780-,chr1,-,5907115^,5905783-,5907115^5905780-
chr1@-@5927649^5905783-@5927649^5905780-,chr1,-,5927649^,5905783-,5927649^5905780-
chr1@+@6211118^6211867-@6211118^6211923-,chr1,+,6211118^,6211867-,6211118^6211923-
chr1@+@6212053^6212218-@6212053^6212231-,chr1,+,6212053^,6212218-,6212053^6212231-
chr1@+@6237345^6237470-@6237345^6237814-,chr1,+,6237345^,6237470-,6237345^6237814-
chr1@-@6294864^6282888-@6294864^6282796-,chr1,-,6294864^,6282888-,6294864^6282796-
chr1@+@6440440^6440626-@6440440^6440659-,chr1,+,6440440^,6440626-,6440440^6440659-
chr1@-@6463072^6462970-@6463072^6462956-,chr1,-,6463072^,6462970-,6463072^6462956-
chr1@-@6464375^6463127-@6464375^6462970-,chr1,-,6464375^,6463127-,6464375^6462970-
chr1@-@6464375^6463147-@6464375^6462970-,chr1,-,6464375^,6463147-,6464375^6462970-
chr1@-@6464375^6463147-@6464375^6463127-,chr1,-,6464375^,6463147-,6464375^6463127-
chr1@-@6464375^6463147-@6464375^6463127-6463072^6462970-,chr1,-,6464375^,6463147-,6464375^6463127-6463072^6462970-
chr1@-@6464375^6463147-@6464375^6463127-6463072^6462956-,chr1,-,6464375^,6463147-,6464375^6463127-6463072^6462956-
chr1@-@6462863^6462666-@6462863^6462663-,chr1,-,6462863^,6462666-,6462863^6462663-
chr1@-@6469042^6468586-@6469042^6467893-,chr1,-,6469042^,6468586-,6469042^6467893-
chr1@+@6587291^6587478-@6587291^6587515-,chr1,+,6587291^,6587478-,6587291^6587515-
chr1@+@6628691^6630288-@6628691^6630291-,chr1,+,6628691^,6630288-,6628691^6630291-
chr1@+@6630353^6632370-@6630353^6632391-,chr1,+,6630353^,6632370-,6630353^6632391-
chr1@+@7745022^7745845-@7745022^7745887-,chr1,+,7745022^,7745845-,7745022^7745887-
chr1@+@7788246^7793957-@7788246^7793960-,chr1,+,7788246^,7793957-,7788246^7793960-
chr1@+@7827815^7829834-@7827815^7829837-,chr1,+,7827815^,7829834-,7827815^7829837-
chr1@+@7827815^7829834-@7827815^7829837-7829951^7830006-,chr1,+,7827815^,7829834-,7827815^7829837-7829951^7830006-
chr1@-@7853307^7853118-@7853307^7852923-,chr1,-,7853307^,7853118-,7853307^7852923-
chr1@-@8015495^8015400-@8015495^8015384-,chr1,-,8015495^,8015400-,8015495^8015384-
chr1@-@9088372^9085166-@9088372^9085142-,chr1,-,9088372^,9085166-,9088372^9085142-
chr1@-@9088372^9085142-@9088372^9085126-,chr1,-,9088372^,9085142-,9088372^9085126-
chr1@-@9088372^9085166-@9088372^9085126-,chr1,-,9088372^,9085166-,9088372^9085126-
chr1@+@9716619^9716959-@9716619^9717064-,chr1,+,9716619^,9716959-,9716619^9717064-
chr1@+@9720242^9720434-@9720242^9720611-,chr1,+,9720242^,9720434-,9720242^9720611-
chr1@+@9720909^9721126-@9720909^9721127-,chr1,+,9720909^,9721126-,9720909^9721127-
chr1@+@10279138^10282322-@10279138^10282400-,chr1,+,10279138^,10282322-,10279138^10282400-
chr1@+@10278128^10282322-@10278128^10282400-,chr1,+,10278128^,10282322-,10278128^10282400-
chr1@+@10399704^10400376-@10399704^10400393-,chr1,+,10399704^,10400376-,10399704^10400393-
chr1@+@11022250^11023193-@11022250^11023263-,chr1,+,11022250^,11023193-,11022250^11023263-
chr1@+@11022250^11023161-@11022250^11023263-,chr1,+,11022250^,11023161-,11022250^11023263-
chr1@+@11022250^11023161-@11022250^11023193-,chr1,+,11022250^,11023161-,11022250^11023193-
chr1@+@11023329^11024064-@11023329^11024302-,chr1,+,11023329^,11024064-,11023329^11024302-
chr1@-@11059777^11059380-@11059777^11059345-,chr1,-,11059777^,11059380-,11059777^11059345-
chr1@-@11080764^11080549-@11080764^11080514-,chr1,-,11080764^,11080549-,11080764^11080514-
chr1@-@11072087^11070988-@11072087^11070973-,chr1,-,11072087^,11070988-,11072087^11070973-
chr1@+@11193774^11194461-@11193774^11194526-,chr1,+,11193774^,11194461-,11193774^11194526-
chr1@+@11654952^11655328-@11654952^11655670-,chr1,+,11654952^,11655328-,11654952^11655670-
chr1@+@11745837^11745988-@11745837^11746127-,chr1,+,11745837^,11745988-,11745837^11746127-
chr1@+@11745837^11745930-@11745837^11746127-,chr1,+,11745837^,11745930-,11745837^11746127-
chr1@+@11745837^11745930-@11745837^11745988-,chr1,+,11745837^,11745930-,11745837^11745988-
chr1@+@11780010^11782189-@11780010^11782194-,chr1,+,11780010^,11782189-,11780010^11782194-
chr1@+@11788047^11788149-@11788047^11788164-,chr1,+,11788047^,11788149-,11788047^11788164-
chr1@+@11788047^11788164-@11788047^11788243-,chr1,+,11788047^,11788164-,11788047^11788243-
chr1@+@11788047^11788149-@11788047^11788243-,chr1,+,11788047^,11788149-,11788047^11788243-
chr1@-@11803405^11803129-@11803405^11803126-,chr1,-,11803405^,11803129-,11803405^11803126-
chr1@-@11805888^11803129-@11805888^11803126-,chr1,-,11805888^,11803129-,11805888^11803126-
chr1@+@11826214^11827089-@11826214^11827115-,chr1,+,11826214^,11827089-,11826214^11827115-
chr1@+@11833638^11833877-@11833638^11833887-,chr1,+,11833638^,11833877-,11833638^11833887-
chr1@+@11841207^11843704-@11841207^11843734-,chr1,+,11841207^,11843704-,11841207^11843734-
chr1@+@12135613^12138229-@12135613^12138232-,chr1,+,12135613^,12138229-,12135613^12138232-
chr1@+@12191923^12192348-@12191923^12192431-,chr1,+,12191923^,12192348-,12191923^12192431-
chr1@+@12253826^12256276-@12253826^12256333-,chr1,+,12253826^,12256276-,12253826^12256333-
chr1@+@12338305^12341780-@12338305^12341783-,chr1,+,12338305^,12341780-,12338305^12341783-
chr1@+@13749487^13769039-@13749487^13769118-,chr1,+,13749487^,13769039-,13749487^13769118-
chr1@+@15369502^15374502-@15369502^15374505-,chr1,+,15369502^,15374502-,15369502^15374505-
chr1@+@15397449^15399954-@15397449^15400097-,chr1,+,15397449^,15399954-,15397449^15400097-
chr1@-@15507873^15507133-@15507873^15507075-,chr1,-,15507873^,15507133-,15507873^15507075-
chr1@+@15731257^15731889-@15731257^15731950-,chr1,+,15731257^,15731889-,15731257^15731950-
chr1@+@15758848^15764493-@15758848^15764496-,chr1,+,15758848^,15764493-,15758848^15764496-
chr1@+@15758355^15764493-@15758355^15764496-,chr1,+,15758355^,15764493-,15758355^15764496-
chr1@+@15758329^15764493-@15758329^15764496-,chr1,+,15758329^,15764493-,15758329^15764496-
chr1@+@15876678^15909321-@15876678^15909324-,chr1,+,15876678^,15909321-,15876678^15909324-
chr1@-@15946935^15946316-@15946935^15946294-,chr1,-,15946935^,15946316-,15946935^15946294-
chr1@-@15944300^15943895-@15944300^15943715-,chr1,-,15944300^,15943895-,15944300^15943715-
chr1@-@15942529^15942441-@15942529^15942420-,chr1,-,15942529^,15942441-,15942529^15942420-
chr1@-@16017765^16017219-@16017765^16017207-,chr1,-,16017765^,16017219-,16017765^16017207-
chr1@-@16017765^16017222-@16017765^16017207-,chr1,-,16017765^,16017222-,16017765^16017207-
chr1@-@16017765^16017222-@16017765^16017219-,chr1,-,16017765^,16017222-,16017765^16017219-
chr1@+@16023928^16024763-@16023928^16024859-,chr1,+,16023928^,16024763-,16023928^16024859-
chr1@+@16028119^16028720-@16028119^16028761-,chr1,+,16028119^,16028720-,16028119^16028761-
chr1@+@16032291^16032443-@16032291^16032446-,chr1,+,16032291^,16032443-,16032291^16032446-
chr1@+@16055523^16055675-@16055523^16055678-,chr1,+,16055523^,16055675-,16055523^16055678-
chr1@+@16391424^16393228-@16391424^16393231-,chr1,+,16391424^,16393228-,16391424^16393231-
chr1@+@16367308^16393228-@16367308^16393231-,chr1,+,16367308^,16393228-,16367308^16393231-
chr1@-@16608508^16595013-@16608508^16595009-,chr1,-,16608508^,16595013-,16608508^16595009-
chr1@+@16945606^16946259-@16945606^16946300-,chr1,+,16945606^,16946259-,16945606^16946300-
chr1@-@16758803^16758711-@16758803^16758586-16758466^16758088-,chr1,-,16758803^,16758711-,16758803^16758586-16758466^16758088-
chr1@-@16889548^16888785-@16889548^16888782-,chr1,-,16889548^,16888785-,16889548^16888782-
chr1@-@17004692^17004411-@17004692^17004408-,chr1,-,17004692^,17004411-,17004692^17004408-
chr1@-@17004707^17004411-@17004707^17004408-,chr1,-,17004707^,17004411-,17004707^17004408-
chr1@-@17002034^17000534-@17002034^17000507-,chr1,-,17002034^,17000534-,17002034^17000507-
chr1@-@16997020^16996496-@16997020^16996478-,chr1,-,16997020^,16996496-,16997020^16996478-
chr1@-@16992486^16992402-@16992486^16992342-,chr1,-,16992486^,16992402-,16992486^16992342-
chr1@+@18635240^18636237-@18635240^18636243-,chr1,+,18635240^,18636237-,18635240^18636243-
chr1@-@19155441^19155078-@19155441^19155075-,chr1,-,19155441^,19155078-,19155441^19155075-
chr1@-@19239231^19238857-@19239231^19238854-,chr1,-,19239231^,19238857-,19239231^19238854-
chr1@-@19222624^19220848-@19222624^19220810-,chr1,-,19222624^,19220848-,19222624^19220810-
chr1@-@19220764^19219698-@19220764^19219669-,chr1,-,19220764^,19219698-,19220764^19219669-
chr1@+@19324762^19325495-@19324762^19325526-,chr1,+,19324762^,19325495-,19324762^19325526-
chr1@-@19979580^19978911-@19979580^19978879-,chr1,-,19979580^,19978911-,19979580^19978879-
chr1@-@19978734^19978524-@19978734^19978484-,chr1,-,19978734^,19978524-,19978734^19978484-
chr1@-@19980362^19979690-@19980362^19979659-,chr1,-,19980362^,19979690-,19980362^19979659-
chr1@-@20175007^20172897-@20175007^20172891-,chr1,-,20175007^,20172897-,20175007^20172891-
chr1@+@20312988^20314322-@20312988^20314378-,chr1,+,20312988^,20314322-,20312988^20314378-
chr1@+@20317675^20318424-@20317675^20318590-,chr1,+,20317675^,20318424-,20317675^20318590-
chr1@-@20399480^20398787-@20399480^20398729-,chr1,-,20399480^,20398787-,20399480^20398729-
chr1@-@20399480^20398787-@20399480^20398738-,chr1,-,20399480^,20398787-,20399480^20398738-
chr1@-@20399480^20398738-@20399480^20398729-,chr1,-,20399480^,20398738-,20399480^20398729-
chr1@-@20671938^20670491-@20671938^20670488-,chr1,-,20671938^,20670491-,20671938^20670488-
chr1@-@20969474^20950111-@20969474^20950108-,chr1,-,20969474^,20950111-,20969474^20950108-
chr1@+@21445219^21449791-@21445219^21449859-,chr1,+,21445219^,21449791-,21445219^21449859-
chr1@+@21466156^21466996-@21466156^21467182-,chr1,+,21466156^,21466996-,21466156^21467182-
chr1@+@21474951^21478069-@21474951^21478144-,chr1,+,21474951^,21478069-,21474951^21478144-
chr1@-@21606066^21603912-@21606066^21602913-,chr1,-,21606066^,21603912-,21606066^21602913-
chr1@-@21599494^21598502-@21599494^21598449-,chr1,-,21599494^,21598502-,21599494^21598449-
chr1@-@21598400^21598095-@21598400^21598064-,chr1,-,21598400^,21598095-,21598400^21598064-
chr1@-@21598400^21598064-@21598400^21598040-,chr1,-,21598400^,21598064-,21598400^21598040-
chr1@-@21598400^21598095-@21598400^21598040-,chr1,-,21598400^,21598095-,21598400^21598040-
chr1@-@21736446^21729832-@21736446^21729829-,chr1,-,21736446^,21729832-,21736446^21729829-
chr1@-@21721650^21721166-@21721650^21721163-,chr1,-,21721650^,21721166-,21721650^21721163-
chr1@-@21715389^21706907-@21715389^21706868-,chr1,-,21715389^,21706907-,21715389^21706868-
chr1@+@22078583^22078706-@22078583^22078747-,chr1,+,22078583^,22078706-,22078583^22078747-
chr1@+@22882483^22892881-@22882483^22892884-,chr1,+,22882483^,22892881-,22882483^22892884-
chr1@+@22895580^22896411-@22895580^22896414-,chr1,+,22895580^,22896411-,22895580^22896414-
chr1@+@23072197^23073274-@23072197^23073292-,chr1,+,23072197^,23073274-,23072197^23073292-
chr1@+@23077360^23078966-@23077360^23078990-,chr1,+,23077360^,23078966-,23077360^23078990-
chr1@-@23344211^23341020-@23344211^23341017-,chr1,-,23344211^,23341020-,23344211^23341017-
chr1@-@23321528^23318697-@23321528^23318688-,chr1,-,23321528^,23318697-,23321528^23318688-
chr1@+@23371209^23371474-@23371209^23371513-,chr1,+,23371209^,23371474-,23371209^23371513-
chr1@-@23442186^23441730-@23442186^23441719-,chr1,-,23442186^,23441730-,23442186^23441719-
chr1@+@23691829^23692609-@23691829^23692612-,chr1,+,23691829^,23692609-,23691829^23692612-
chr1@+@23792017^23792552-@23792017^23792657-,chr1,+,23792017^,23792552-,23792017^23792657-
chr1@+@23794325^23794427-@23794325^23794552-,chr1,+,23794325^,23794427-,23794325^23794552-
chr1@-@23798615^23798230-@23798615^23798225-,chr1,-,23798615^,23798230-,23798615^23798225-
chr1@+@23959998^23960929-@23959998^23960933-,chr1,+,23959998^,23960929-,23959998^23960933-
chr1@-@23977911^23975080-@23977911^23975051-,chr1,-,23977911^,23975080-,23977911^23975051-
chr1@-@23971850^23971626-@23971850^23971623-,chr1,-,23971850^,23971626-,23971850^23971623-
chr1@-@24502348^24499804-@24502348^24499711-,chr1,-,24502348^,24499804-,24502348^24499711-
chr1@+@24531391^24533083-@24531391^24533113-,chr1,+,24531391^,24533083-,24531391^24533113-
chr1@+@24650086^24651409-@24650086^24651499-,chr1,+,24650086^,24651409-,24650086^24651499-
chr1@+@24652628^24652913-@24652628^24652928-,chr1,+,24652628^,24652913-,24652628^24652928-
chr1@+@24652628^24652913-@24652628^24652915-,chr1,+,24652628^,24652913-,24652628^24652915-
chr1@+@24652628^24652915-@24652628^24652928-,chr1,+,24652628^,24652915-,24652628^24652928-
chr1@+@24660799^24661310-@24660799^24661313-,chr1,+,24660799^,24661310-,24660799^24661313-
chr1@-@25245150^25244224-@25245150^25243633-,chr1,-,25245150^,25244224-,25245150^25243633-
chr1@-@25244454^25244224-@25244454^25243633-,chr1,-,25244454^,25244224-,25244454^25243633-
chr1@+@25458892^25484116-@25458892^25484127-,chr1,+,25458892^,25484116-,25458892^25484127-
chr1@+@25563791^25565173-@25563791^25565176-,chr1,+,25563791^,25565173-,25563791^25565176-
chr1@+@25820029^25822996-@25820029^25823019-,chr1,+,25820029^,25822996-,25820029^25823019-
chr1@+@25823128^25823240-@25823128^25823346-,chr1,+,25823128^,25823240-,25823128^25823346-
chr1@+@25823128^25823621-@25823128^25823644-,chr1,+,25823128^,25823621-,25823128^25823644-
chr1@+@25820029^25823621-@25820029^25823644-,chr1,+,25820029^,25823621-,25820029^25823644-
chr1@+@25826826^25829545-@25826826^25829618-,chr1,+,25826826^,25829545-,25826826^25829618-
chr1@+@25826826^25829509-@25826826^25829545-,chr1,+,25826826^,25829509-,25826826^25829545-
chr1@+@25826826^25829509-@25826826^25829618-,chr1,+,25826826^,25829509-,25826826^25829618-
chr1@-@25837413^25835846-@25837413^25834331-,chr1,-,25837413^,25835846-,25837413^25834331-
chr1@-@25998025^25990921-@25998025^25990863-,chr1,-,25998025^,25990921-,25998025^25990863-
chr1@+@26181941^26182361-@26181941^26182399-,chr1,+,26181941^,26182361-,26181941^26182399-
chr1@+@26182402^26182480-@26182402^26182485-,chr1,+,26182402^,26182480-,26182402^26182485-
chr1@+@26182584^26183197-@26182584^26183204-,chr1,+,26182584^,26183197-,26182584^26183204-
chr1@+@26183830^26184142-@26183830^26184214-,chr1,+,26183830^,26184142-,26183830^26184214-
chr1@+@26198077^26198286-@26198077^26198334-,chr1,+,26198077^,26198286-,26198077^26198334-
chr1@+@26276760^26277133-@26276760^26277136-,chr1,+,26276760^,26277133-,26276760^26277136-
chr1@-@26301694^26301053-@26301694^26301024-,chr1,-,26301694^,26301053-,26301694^26301024-
chr1@-@26284362^26284281-@26284362^26284245-,chr1,-,26284362^,26284281-,26284362^26284245-
chr1@-@26343745^26343293-@26343745^26343291-,chr1,-,26343745^,26343293-,26343745^26343291-
chr1@-@26372669^26368585-@26372669^26368582-,chr1,-,26372669^,26368585-,26372669^26368582-
chr1@-@26370633^26368585-@26370633^26368582-,chr1,-,26370633^,26368585-,26370633^26368582-
chr1@-@26368458^26367797-@26368458^26367647-,chr1,-,26368458^,26367797-,26368458^26367647-
chr1@+@26438284^26442708-@26438284^26442731-,chr1,+,26438284^,26442708-,26438284^26442731-
chr1@+@26460144^26468892-@26460144^26468895-,chr1,+,26460144^,26468892-,26460144^26468895-
chr1@+@26472627^26473460-@26472627^26473483-,chr1,+,26472627^,26473460-,26472627^26473483-
chr1@+@26554738^26555151-@26554738^26555184-,chr1,+,26554738^,26555151-,26554738^26555184-
chr1@+@26772632^26772812-@26772632^26772815-,chr1,+,26772632^,26772812-,26772632^26772815-
chr1@+@26773898^26774329-@26773898^26774980-,chr1,+,26773898^,26774329-,26773898^26774980-
chr1@+@27296401^27297048-@27296401^27297051-,chr1,+,27296401^,27297048-,27296401^27297051-
chr1@+@27303795^27305001-@27303795^27305059-,chr1,+,27303795^,27305001-,27303795^27305059-
chr1@+@27348012^27349080-@27348012^27349116-,chr1,+,27348012^,27349080-,27348012^27349116-
chr1@-@27558706^27553304-@27558706^27553185-,chr1,-,27558706^,27553304-,27558706^27553185-
chr1@-@27603728^27603494-@27603728^27603491-,chr1,-,27603728^,27603494-,27603728^27603491-
chr1@-@27558305^27553290-@27558305^27553185-,chr1,-,27558305^,27553290-,27558305^27553185-
chr1@-@27558706^27553290-@27558706^27553185-,chr1,-,27558706^,27553290-,27558706^27553185-
chr1@+@27945445^27948994-@27945445^27949065-,chr1,+,27945445^,27948994-,27945445^27949065-
chr1@-@28013111^28011086-@28013111^28011083-,chr1,-,28013111^,28011086-,28013111^28011083-
chr1@-@28581590^28581229-@28581590^28580646-28580425^28579981-,chr1,-,28581590^,28581229-,28581590^28580646-28580425^28579981-
chr1@+@28668839^28683583-@28668839^28683586-,chr1,+,28668839^,28683583-,28668839^28683586-
chr1@+@28683740^28690074-@28683740^28690104-,chr1,+,28683740^,28690074-,28683740^28690104-
chr1@+@28887210^28987431-@28887210^28987448-,chr1,+,28887210^,28987431-,28887210^28987448-
chr1@+@29039426^29053104-@29039426^29053107-,chr1,+,29039426^,29053104-,29039426^29053107-
chr1@-@29168503^29166912-@29168503^29166866-,chr1,-,29168503^,29166912-,29168503^29166866-
chr1@-@29160375^29160091-@29160375^29160058-,chr1,-,29160375^,29160091-,29160375^29160058-
chr1@-@29220838^29216812-@29220838^29216685-,chr1,-,29220838^,29216812-,29220838^29216685-
chr1@-@29230731^29216812-@29230731^29216685-,chr1,-,29230731^,29216812-,29230731^29216685-
chr1@-@29196198^29196042-@29196198^29196013-,chr1,-,29196198^,29196042-,29196198^29196013-
chr1@+@29323496^29323631-@29323496^29323637-,chr1,+,29323496^,29323631-,29323496^29323637-
chr1@+@30824828^30826131-@30824828^30826134-,chr1,+,30824828^,30826131-,30824828^30826134-
chr1@+@30824373^30826056-@30824373^30826131-,chr1,+,30824373^,30826056-,30824373^30826131-
chr1@+@30824373^30826131-@30824373^30826134-,chr1,+,30824373^,30826131-,30824373^30826134-
chr1@+@30824373^30826056-@30824373^30826134-,chr1,+,30824373^,30826056-,30824373^30826134-
