ase_id,chr,strand,out_donor,out_acceptor,in_junction
chr1@-@1919182^1919088-@1919184^1919182-1919089^1919087-,chr1,-,1919182^,1919088-,1919184^1919182-1919089^1919087-
chr1@+@2027659^2028155-@2027658^2027660-2028155^2028157-,chr1,+,2027659^,2028155-,2027658^2027660-2028155^2028157-
chr1@+@2027659^2028071-@2027658^2027660-2028071^2028073-,chr1,+,2027659^,2028071-,2027658^2027660-2028071^2028073-
chr1@+@2558468^2559823-@2558467^2558469-2559823^2559825-,chr1,+,2558468^,2559823-,2558467^2558469-2559823^2559825-
chr1@-@3060230^3059737-@3060232^3060230-3059738^3059736-,chr1,-,3060230^,3059737-,3060232^3060230-3059738^3059736-
chr1@-@3061107^3060604-@3061109^3061107-3060605^3060603-,chr1,-,3061107^,3060604-,3061109^3061107-3060605^3060603-
chr1@+@3478026^3478424-@3478025^3478027-3478424^3478426-,chr1,+,3478026^,3478424-,3478025^3478027-3478424^3478426-
chr1@-@3494613^3494499-@3494615^3494613-3494500^3494498-,chr1,-,3494613^,3494499-,3494615^3494613-3494500^3494498-
chr1@+@3883800^3885038-@3883799^3883801-3885038^3885040-,chr1,+,3883800^,3885038-,3883799^3883801-3885038^3885040-
chr1@-@3892883^3891057-@3892885^3892883-3891058^3891056-,chr1,-,3892883^,3891057-,3892885^3892883-3891058^3891056-
chr1@-@3948863^3948595-@3948865^3948863-3948596^3948594-,chr1,-,3948863^,3948595-,3948865^3948863-3948596^3948594-
chr1@+@4593190^4593700-@4593189^4593191-4593700^4593702-,chr1,+,4593190^,4593700-,4593189^4593191-4593700^4593702-
chr1@-@5863890^5863405-@5863892^5863890-5863406^5863404-,chr1,-,5863890^,5863405-,5863892^5863890-5863406^5863404-
chr1@-@5864338^5864033-@5864340^5864338-5864034^5864032-,chr1,-,5864338^,5864033-,5864340^5864338-5864034^5864032-
chr1@+@6085248^6086158-@6085247^6085249-6086158^6086160-,chr1,+,6085248^,6086158-,6085247^6085249-6086158^6086160-
chr1@+@6087511^6089008-@6087510^6087512-6089008^6089010-,chr1,+,6087511^,6089008-,6087510^6087512-6089008^6089010-
chr1@+@6094485^6095323-@6094484^6094486-6095323^6095325-,chr1,+,6094485^,6095323-,6094484^6094486-6095323^6095325-
chr1@+@6094962^6095323-@6094961^6094963-6095323^6095325-,chr1,+,6094962^,6095323-,6094961^6094963-6095323^6095325-
chr1@+@6095624^6096636-@6095623^6095625-6096636^6096638-,chr1,+,6095624^,6096636-,6095623^6095625-6096636^6096638-
chr1@+@6097357^6097517-@6097356^6097358-6097517^6097519-,chr1,+,6097357^,6097517-,6097356^6097358-6097517^6097519-
chr1@+@6209343^6209414-@6209342^6209344-6209414^6209416-,chr1,+,6209343^,6209414-,6209342^6209344-6209414^6209416-
chr1@+@6212733^6213066-@6212732^6212734-6213066^6213068-,chr1,+,6212733^,6213066-,6212732^6212734-6213066^6213068-
chr1@+@6448802^6448893-@6448801^6448803-6448893^6448895-,chr1,+,6448802^,6448893-,6448801^6448803-6448893^6448895-
chr1@-@6463072^6462956-@6463074^6463072-6462957^6462955-,chr1,-,6463072^,6462956-,6463074^6463072-6462957^6462955-
chr1@-@6463072^6462970-@6463074^6463072-6462971^6462969-,chr1,-,6463072^,6462970-,6463074^6463072-6462971^6462969-
chr1@-@6463065^6462970-@6463067^6463065-6462971^6462969-,chr1,-,6463065^,6462970-,6463067^6463065-6462971^6462969-
chr1@-@6466069^6465560-@6466071^6466069-6465561^6465559-,chr1,-,6466069^,6465560-,6466071^6466069-6465561^6465559-
chr1@-@6468099^6467898-@6468101^6468099-6467899^6467897-,chr1,-,6468099^,6467898-,6468101^6468099-6467899^6467897-
chr1@-@6475047^6474587-@6475049^6475047-6474588^6474586-,chr1,-,6475047^,6474587-,6475049^6475047-6474588^6474586-
chr1@-@6595485^6593658-@6595487^6595485-6593659^6593657-,chr1,-,6595485^,6593658-,6595487^6595485-6593659^6593657-
chr1@-@6638295^6637504-@6638297^6638295-6637505^6637503-,chr1,-,6638295^,6637504-,6638297^6638295-6637505^6637503-
chr1@-@6638083^6637504-@6638085^6638083-6637505^6637503-,chr1,-,6638083^,6637504-,6638085^6638083-6637505^6637503-
chr1@+@7829951^7830006-@7829950^7829952-7830006^7830008-,chr1,+,7829951^,7830006-,7829950^7829952-7830006^7830008-
chr1@+@11023329^11024064-@11023328^11023330-11024064^11024066-,chr1,+,11023329^,11024064-,11023328^11023330-11024064^11024066-
chr1@-@11680562^11680471-@11680564^11680562-11680472^11680470-,chr1,-,11680562^,11680471-,11680564^11680562-11680472^11680470-
chr1@-@11795098^11794863-@11795100^11795098-11794864^11794862-,chr1,-,11795098^,11794863-,11795100^11795098-11794864^11794862-
chr1@-@11803405^11803126-@11803407^11803405-11803127^11803125-,chr1,-,11803405^,11803126-,11803407^11803405-11803127^11803125-
chr1@-@11803799^11803129-@11803801^11803799-11803130^11803128-,chr1,-,11803799^,11803129-,11803801^11803799-11803130^11803128-
chr1@-@11803405^11803129-@11803407^11803405-11803130^11803128-,chr1,-,11803405^,11803129-,11803407^11803405-11803130^11803128-
chr1@+@12029281^12029765-@12029280^12029282-12029765^12029767-,chr1,+,12029281^,12029765-,12029280^12029282-12029765^12029767-
chr1@+@12029894^12030028-@12029893^12029895-12030028^12030030-,chr1,+,12029894^,12030028-,12029893^12029895-12030028^12030030-
chr1@+@12348973^12349164-@12348972^12348974-12349164^12349166-,chr1,+,12348973^,12349164-,12348972^12348974-12349164^12349166-
chr1@+@15060302^15063572-@15060301^15060303-15063572^15063574-,chr1,+,15060302^,15063572-,15060301^15060303-15063572^15063574-
chr1@+@15727068^15727192-@15727067^15727069-15727192^15727194-,chr1,+,15727068^,15727192-,15727067^15727069-15727192^15727194-
chr1@-@15943808^15943715-@15943810^15943808-15943716^15943714-,chr1,-,15943808^,15943715-,15943810^15943808-15943716^15943714-
chr1@+@16449201^16451838-@16449200^16449202-16451838^16451840-,chr1,+,16449201^,16451838-,16449200^16449202-16451838^16451840-
chr1@+@16459062^16459274-@16459061^16459063-16459274^16459276-,chr1,+,16459062^,16459274-,16459061^16459063-16459274^16459276-
chr1@-@16478255^16477074-@16478257^16478255-16477075^16477073-,chr1,-,16478255^,16477074-,16478257^16478255-16477075^16477073-
chr1@-@16491186^16491084-@16491188^16491186-16491085^16491083-,chr1,-,16491186^,16491084-,16491188^16491186-16491085^16491083-
chr1@-@16759066^16759035-@16759068^16759066-16759036^16759034-,chr1,-,16759066^,16759035-,16759068^16759066-16759036^16759034-
chr1@+@16953481^16954223-@16953480^16953482-16954223^16954225-,chr1,+,16953481^,16954223-,16953480^16953482-16954223^16954225-
chr1@-@16976897^16976794-@16976899^16976897-16976795^16976793-,chr1,-,16976897^,16976794-,16976899^16976897-16976795^16976793-
chr1@-@16978237^16976923-@16978239^16978237-16976924^16976922-,chr1,-,16978237^,16976923-,16978239^16978237-16976924^16976922-
chr1@-@16986805^16986632-@16986807^16986805-16986633^16986631-,chr1,-,16986805^,16986632-,16986807^16986805-16986633^16986631-
chr1@-@17075679^17074949-@17075681^17075679-17074950^17074948-,chr1,-,17075679^,17074949-,17075681^17075679-17074950^17074948-
chr1@+@17239783^17240635-@17239782^17239784-17240635^17240637-,chr1,+,17239783^,17240635-,17239782^17239784-17240635^17240637-
chr1@-@18872804^18871790-@18872806^18872804-18871791^18871789-,chr1,-,18872804^,18871790-,18872806^18872804-18871791^18871789-
chr1@-@19270835^19270831-@19270837^19270835-19270832^19270830-,chr1,-,19270835^,19270831-,19270837^19270835-19270832^19270830-
chr1@+@19312358^19312729-@19312357^19312359-19312729^19312731-,chr1,+,19312358^,19312729-,19312357^19312359-19312729^19312731-
chr1@-@19978734^19978121-@19978736^19978734-19978122^19978120-,chr1,-,19978734^,19978121-,19978736^19978734-19978122^19978120-
chr1@+@20648632^20648995-@20648631^20648633-20648995^20648997-,chr1,+,20648632^,20648995-,20648631^20648633-20648995^20648997-
chr1@-@21599581^21599575-@21599583^21599581-21599576^21599574-,chr1,-,21599581^,21599575-,21599583^21599581-21599576^21599574-
chr1@-@21603835^21602913-@21603837^21603835-21602914^21602912-,chr1,-,21603835^,21602913-,21603837^21603835-21602914^21602912-
chr1@-@21603658^21602913-@21603660^21603658-21602914^21602912-,chr1,-,21603658^,21602913-,21603660^21603658-21602914^21602912-
chr1@-@21835540^21834945-@21835542^21835540-21834946^21834944-,chr1,-,21835540^,21834945-,21835542^21835540-21834946^21834944-
chr1@-@21878433^21878253-@21878435^21878433-21878254^21878252-,chr1,-,21878433^,21878253-,21878435^21878433-21878254^21878252-
chr1@-@22958762^22958713-@22958764^22958762-22958714^22958712-,chr1,-,22958762^,22958713-,22958764^22958762-22958714^22958712-
chr1@+@23694791^23695798-@23694790^23694792-23695798^23695800-,chr1,+,23694791^,23695798-,23694790^23694792-23695798^23695800-
chr1@+@23794325^23794552-@23794324^23794326-23794552^23794554-,chr1,+,23794325^,23794552-,23794324^23794326-23794552^23794554-
chr1@+@23794325^23794427-@23794324^23794326-23794427^23794429-,chr1,+,23794325^,23794427-,23794324^23794326-23794427^23794429-
chr1@-@23796697^23796586-@23796699^23796697-23796587^23796585-,chr1,-,23796697^,23796586-,23796699^23796697-23796587^23796585-
chr1@-@23798615^23798225-@23798617^23798615-23798226^23798224-,chr1,-,23798615^,23798225-,23798617^23798615-23798226^23798224-
chr1@-@23798615^23798230-@23798617^23798615-23798231^23798229-,chr1,-,23798615^,23798230-,23798617^23798615-23798231^23798229-
chr1@+@24646789^24648859-@24646788^24646790-24648859^24648861-,chr1,+,24646789^,24648859-,24646788^24646790-24648859^24648861-
chr1@+@24652620^24652622-@24652619^24652621-24652622^24652624-,chr1,+,24652620^,24652622-,24652619^24652621-24652622^24652624-
chr1@+@24670273^24670276-@24670272^24670274-24670276^24670278-,chr1,+,24670273^,24670276-,24670272^24670274-24670276^24670278-
chr1@-@25242539^25242426-@25242541^25242539-25242427^25242425-,chr1,-,25242539^,25242426-,25242541^25242539-25242427^25242425-
chr1@-@25245150^25243633-@25245152^25245150-25243634^25243632-,chr1,-,25245150^,25243633-,25245152^25245150-25243634^25243632-
chr1@-@25244177^25243633-@25244179^25244177-25243634^25243632-,chr1,-,25244177^,25243633-,25244179^25244177-25243634^25243632-
chr1@-@25245150^25244224-@25245152^25245150-25244225^25244223-,chr1,-,25245150^,25244224-,25245152^25245150-25244225^25244223-
chr1@+@25563791^25565173-@25563790^25563792-25565173^25565175-,chr1,+,25563791^,25565173-,25563790^25563792-25565173^25565175-
chr1@-@25903641^25901682-@25903643^25903641-25901683^25901681-,chr1,-,25903641^,25901682-,25903643^25903641-25901683^25901681-
chr1@+@26170480^26170575-@26170479^26170481-26170575^26170577-,chr1,+,26170480^,26170575-,26170479^26170481-26170575^26170577-
chr1@-@26171770^26171689-@26171772^26171770-26171690^26171688-,chr1,-,26171770^,26171689-,26171772^26171770-26171690^26171688-
chr1@+@26188307^26188442-@26188306^26188308-26188442^26188444-,chr1,+,26188307^,26188442-,26188306^26188308-26188442^26188444-
chr1@-@26285464^26284482-@26285466^26285464-26284483^26284481-,chr1,-,26285464^,26284482-,26285466^26285464-26284483^26284481-
chr1@+@26473527^26474085-@26473526^26473528-26474085^26474087-,chr1,+,26473527^,26474085-,26473526^26473528-26474085^26474087-
chr1@+@26473527^26473703-@26473526^26473528-26473703^26473705-,chr1,+,26473527^,26473703-,26473526^26473528-26473703^26473705-
chr1@+@26473585^26473703-@26473584^26473586-26473703^26473705-,chr1,+,26473585^,26473703-,26473584^26473586-26473703^26473705-
chr1@+@26473732^26474085-@26473731^26473733-26474085^26474087-,chr1,+,26473732^,26474085-,26473731^26473733-26474085^26474087-
chr1@+@26473817^26474085-@26473816^26473818-26474085^26474087-,chr1,+,26473817^,26474085-,26473816^26473818-26474085^26474087-
chr1@+@26773496^26773580-@26773495^26773497-26773580^26773582-,chr1,+,26773496^,26773580-,26773495^26773497-26773580^26773582-
chr1@+@26774769^26774771-@26774768^26774770-26774771^26774773-,chr1,+,26774769^,26774771-,26774768^26774770-26774771^26774773-
chr1@+@26794206^26794803-@26794205^26794207-26794803^26794805-,chr1,+,26794206^,26794803-,26794205^26794207-26794803^26794805-
chr1@-@26952160^26952041-@26952162^26952160-26952042^26952040-,chr1,-,26952160^,26952041-,26952162^26952160-26952042^26952040-
chr1@+@27303795^27305059-@27303794^27303796-27305059^27305061-,chr1,+,27303795^,27305059-,27303794^27303796-27305059^27305061-
chr1@+@27303795^27305001-@27303794^27303796-27305001^27305003-,chr1,+,27303795^,27305001-,27303794^27303796-27305001^27305003-
chr1@+@27334281^27335379-@27334280^27334282-27335379^27335381-,chr1,+,27334281^,27335379-,27334280^27334282-27335379^27335381-
chr1@+@27349498^27349652-@27349497^27349499-27349652^27349654-,chr1,+,27349498^,27349652-,27349497^27349499-27349652^27349654-
chr1@+@27350132^27350389-@27350131^27350133-27350389^27350391-,chr1,+,27350132^,27350389-,27350131^27350133-27350389^27350391-
chr1@-@27357009^27356749-@27357011^27357009-27356750^27356748-,chr1,-,27357009^,27356749-,27357011^27357009-27356750^27356748-
chr1@-@27380051^27379509-@27380053^27380051-27379510^27379508-,chr1,-,27380051^,27379509-,27380053^27380051-27379510^27379508-
chr1@+@27850414^27851540-@27850413^27850415-27851540^27851542-,chr1,+,27850414^,27851540-,27850413^27850415-27851540^27851542-
chr1@+@27882077^27882513-@27882076^27882078-27882513^27882515-,chr1,+,27882077^,27882513-,27882076^27882078-27882513^27882515-
chr1@+@27882125^27882513-@27882124^27882126-27882513^27882515-,chr1,+,27882125^,27882513-,27882124^27882126-27882513^27882515-
chr1@+@28497271^28499420-@28497270^28497272-28499420^28499422-,chr1,+,28497271^,28499420-,28497270^28497272-28499420^28499422-
chr1@+@28560732^28561346-@28560731^28560733-28561346^28561348-,chr1,+,28560732^,28561346-,28560731^28560733-28561346^28561348-
chr1@-@28579942^28579587-@28579944^28579942-28579588^28579586-,chr1,-,28579942^,28579587-,28579944^28579942-28579588^28579586-
chr1@-@28579912^28579587-@28579914^28579912-28579588^28579586-,chr1,-,28579912^,28579587-,28579914^28579912-28579588^28579586-
chr1@-@28580560^28579981-@28580562^28580560-28579982^28579980-,chr1,-,28580560^,28579981-,28580562^28580560-28579982^28579980-
chr1@-@28581111^28580646-@28581113^28581111-28580647^28580645-,chr1,-,28581111^,28580646-,28581113^28581111-28580647^28580645-
chr1@-@28581094^28580646-@28581096^28581094-28580647^28580645-,chr1,-,28581094^,28580646-,28581096^28581094-28580647^28580645-
chr1@-@28581590^28581229-@28581592^28581590-28581230^28581228-,chr1,-,28581590^,28581229-,28581592^28581590-28581230^28581228-
chr1@-@29160375^29159486-@29160377^29160375-29159487^29159485-,chr1,-,29160375^,29159486-,29160377^29160375-29159487^29159485-
chr1@-@29196198^29196013-@29196200^29196198-29196014^29196012-,chr1,-,29196198^,29196013-,29196200^29196198-29196014^29196012-
chr1@-@29196198^29196042-@29196200^29196198-29196043^29196041-,chr1,-,29196198^,29196042-,29196200^29196198-29196043^29196041-
chr1@-@30878623^30877165-@30878625^30878623-30877166^30877164-,chr1,-,30878623^,30877165-,30878625^30878623-30877166^30877164-
chr1@+@31583241^31583461-@31583240^31583242-31583461^31583463-,chr1,+,31583241^,31583461-,31583240^31583242-31583461^31583463-
chr1@+@31583575^31584678-@31583574^31583576-31584678^31584680-,chr1,+,31583575^,31584678-,31583574^31583576-31584678^31584680-
chr1@+@31585036^31585151-@31585035^31585037-31585151^31585153-,chr1,+,31585036^,31585151-,31585035^31585037-31585151^31585153-
chr1@+@31585485^31586710-@31585484^31585486-31586710^31586712-,chr1,+,31585485^,31586710-,31585484^31585486-31586710^31586712-
chr1@+@31585485^31585753-@31585484^31585486-31585753^31585755-,chr1,+,31585485^,31585753-,31585484^31585486-31585753^31585755-
chr1@+@31585876^31586710-@31585875^31585877-31586710^31586712-,chr1,+,31585876^,31586710-,31585875^31585877-31586710^31586712-
chr1@-@31728025^31727605-@31728027^31728025-31727606^31727604-,chr1,-,31728025^,31727605-,31728027^31728025-31727606^31727604-
chr1@-@31735580^31735281-@31735582^31735580-31735282^31735280-,chr1,-,31735580^,31735281-,31735582^31735580-31735282^31735280-
chr1@-@31793747^31793428-@31793749^31793747-31793429^31793427-,chr1,-,31793747^,31793428-,31793749^31793747-31793429^31793427-
chr1@-@31798442^31798323-@31798444^31798442-31798324^31798322-,chr1,-,31798442^,31798323-,31798444^31798442-31798324^31798322-
chr1@+@32204620^32205194-@32204619^32204621-32205194^32205196-,chr1,+,32204620^,32205194-,32204619^32204621-32205194^32205196-
chr1@+@32206297^32206509-@32206296^32206298-32206509^32206511-,chr1,+,32206297^,32206509-,32206296^32206298-32206509^32206511-
chr1@-@32215673^32215216-@32215675^32215673-32215217^32215215-,chr1,-,32215673^,32215216-,32215675^32215673-32215217^32215215-
chr1@-@32217259^32216947-@32217261^32217259-32216948^32216946-,chr1,-,32217259^,32216947-,32217261^32217259-32216948^32216946-
chr1@+@32274818^32274993-@32274817^32274819-32274993^32274995-,chr1,+,32274818^,32274993-,32274817^32274819-32274993^32274995-
chr1@+@32279747^32279841-@32279746^32279748-32279841^32279843-,chr1,+,32279747^,32279841-,32279746^32279748-32279841^32279843-
chr1@+@32331806^32332090-@32331805^32331807-32332090^32332092-,chr1,+,32331806^,32332090-,32331805^32331807-32332090^32332092-
chr1@-@32394404^32394140-@32394406^32394404-32394141^32394139-,chr1,-,32394404^,32394140-,32394406^32394404-32394141^32394139-
chr1@-@32781129^32781127-@32781131^32781129-32781128^32781126-,chr1,-,32781129^,32781127-,32781131^32781129-32781128^32781126-
chr1@-@33013207^33010833-@33013209^33013207-33010834^33010832-,chr1,-,33013207^,33010833-,33013209^33013207-33010834^33010832-
chr1@-@33013207^33012122-@33013209^33013207-33012123^33012121-,chr1,-,33013207^,33012122-,33013209^33013207-33012123^33012121-
chr1@+@33082354^33083063-@33082353^33082355-33083063^33083065-,chr1,+,33082354^,33083063-,33082353^33082355-33083063^33083065-
chr1@+@33082354^33083018-@33082353^33082355-33083018^33083020-,chr1,+,33082354^,33083018-,33082353^33082355-33083018^33083020-
chr1@+@33118116^33120044-@33118115^33118117-33120044^33120046-,chr1,+,33118116^,33120044-,33118115^33118117-33120044^33120046-
chr1@-@33600865^33600241-@33600867^33600865-33600242^33600240-,chr1,-,33600865^,33600241-,33600867^33600865-33600242^33600240-
chr1@+@36087807^36087973-@36087806^36087808-36087973^36087975-,chr1,+,36087807^,36087973-,36087806^36087808-36087973^36087975-
chr1@+@36176321^36176418-@36176320^36176322-36176418^36176420-,chr1,+,36176321^,36176418-,36176320^36176322-36176418^36176420-
chr1@+@36303831^36304474-@36303830^36303832-36304474^36304476-,chr1,+,36303831^,36304474-,36303830^36303832-36304474^36304476-
chr1@+@36321209^36321724-@36321208^36321210-36321724^36321726-,chr1,+,36321209^,36321724-,36321208^36321210-36321724^36321726-
chr1@-@36343364^36341973-@36343366^36343364-36341974^36341972-,chr1,-,36343364^,36341973-,36343366^36343364-36341974^36341972-
chr1@-@36466621^36466200-@36466623^36466621-36466201^36466199-,chr1,-,36466621^,36466200-,36466623^36466621-36466201^36466199-
chr1@-@36467230^36466827-@36467232^36467230-36466828^36466826-,chr1,-,36467230^,36466827-,36467232^36467230-36466828^36466826-
chr1@-@36472066^36471646-@36472068^36472066-36471647^36471645-,chr1,-,36472066^,36471646-,36472068^36472066-36471647^36471645-
chr1@-@36473435^36472686-@36473437^36473435-36472687^36472685-,chr1,-,36473435^,36472686-,36473437^36473435-36472687^36472685-
chr1@+@38475477^38475621-@38475476^38475478-38475621^38475623-,chr1,+,38475477^,38475621-,38475476^38475478-38475621^38475623-
chr1@+@38476255^38476387-@38476254^38476256-38476387^38476389-,chr1,+,38476255^,38476387-,38476254^38476256-38476387^38476389-
chr1@-@38874778^38873909-@38874780^38874778-38873910^38873908-,chr1,-,38874778^,38873909-,38874780^38874778-38873910^38873908-
chr1@+@39484730^39485538-@39484729^39484731-39485538^39485540-,chr1,+,39484730^,39485538-,39484729^39484731-39485538^39485540-
chr1@-@39548862^39547634-@39548864^39548862-39547635^39547633-,chr1,-,39548862^,39547634-,39548864^39548862-39547635^39547633-
chr1@-@39576552^39576223-@39576554^39576552-39576224^39576222-,chr1,-,39576552^,39576223-,39576554^39576552-39576224^39576222-
chr1@+@39741921^39743216-@39741920^39741922-39743216^39743218-,chr1,+,39741921^,39743216-,39741920^39741922-39743216^39743218-
chr1@+@39742031^39743216-@39742030^39742032-39743216^39743218-,chr1,+,39742031^,39743216-,39742030^39742032-39743216^39743218-
chr1@+@39967711^39967804-@39967710^39967712-39967804^39967806-,chr1,+,39967711^,39967804-,39967710^39967712-39967804^39967806-
chr1@-@40092398^40092172-@40092400^40092398-40092173^40092171-,chr1,-,40092398^,40092172-,40092400^40092398-40092173^40092171-
chr1@-@40312456^40312112-@40312458^40312456-40312113^40312111-,chr1,-,40312456^,40312112-,40312458^40312456-40312113^40312111-
chr1@+@40457071^40457344-@40457070^40457072-40457344^40457346-,chr1,+,40457071^,40457344-,40457070^40457072-40457344^40457346-
chr1@+@40996068^40997394-@40996067^40996069-40997394^40997396-,chr1,+,40996068^,40997394-,40996067^40996069-40997394^40997396-
chr1@+@41008714^41008794-@41008713^41008715-41008794^41008796-,chr1,+,41008714^,41008794-,41008713^41008715-41008794^41008796-
chr1@-@42735878^42735134-@42735880^42735878-42735135^42735133-,chr1,-,42735878^,42735134-,42735880^42735878-42735135^42735133-
chr1@-@42747272^42746852-@42747274^42747272-42746853^42746851-,chr1,-,42747272^,42746852-,42747274^42747272-42746853^42746851-
chr1@-@42755165^42754990-@42755167^42755165-42754991^42754989-,chr1,-,42755165^,42754990-,42755167^42755165-42754991^42754989-
