ase_id,chr,strand,out_donor,out_acceptor,in_junction
chr1@+@1625653^1626837-@1626754^1626837-,chr1,+,1625653^,1626837-,1626754^1626837-
chr1@+@1633355^1633748-@1633480^1633748-,chr1,+,1633355^,1633748-,1633480^1633748-
chr1@-@1642386^1642001-@1642347^1642001-,chr1,-,1642386^,1642001-,1642347^1642001-
chr1@-@1722708^1721711-@1722588^1721711-,chr1,-,1722708^,1721711-,1722588^1721711-
chr1@-@1719358^1716478-@1719328^1716478-,chr1,-,1719358^,1716478-,1719328^1716478-
chr1@-@1709518^1709133-@1709479^1709133-,chr1,-,1709518^,1709133-,1709479^1709133-
chr1@-@1707525^1705732-@1707409^1705732-,chr1,-,1707525^,1705732-,1707409^1705732-
chr1@-@1756779^1756608-@1756739^1756608-,chr1,-,1756779^,1756608-,1756739^1756608-
chr1@+@2025401^2025518-@2025432^2025518-,chr1,+,2025401^,2025518-,2025432^2025518-
chr1@+@2028287^2029111-@2028292^2029111-,chr1,+,2028287^,2029111-,2028292^2029111-
chr1@+@2029266^2029551-@2029408^2029551-,chr1,+,2029266^,2029551-,2029408^2029551-
chr1@-@2201050^2198142-@2198754^2198142-,chr1,-,2201050^,2198142-,2198754^2198142-
chr1@-@2408456^2406895-@2408452^2406895-,chr1,-,2408456^,2406895-,2408452^2406895-
chr1@-@2410371^2408858-@2410261^2408858-,chr1,-,2410371^,2408858-,2410261^2408858-
chr1@+@2502409^2503617-@2502910^2503617-,chr1,+,2502409^,2503617-,2502910^2503617-
chr1@-@2609394^2603973-@2609339^2607069-2606974^2606366-2606248^2605623-2605558^2604281-2604147^2603973-,chr1,-,2609394^,2603973-,2609339^2607069-2606974^2606366-2606248^2605623-2605558^2604281-2604147^2603973-
chr1@-@3740233^3737854-@3739624^3739227-3738223^3737854-,chr1,-,3740233^,3737854-,3739624^3739227-3738223^3737854-
chr1@+@3858844^3865762-@3858866^3865762-,chr1,+,3858844^,3865762-,3858866^3865762-
chr1@+@3858844^3865812-@3858866^3865812-,chr1,+,3858844^,3865812-,3858866^3865812-
chr1@+@6046183^6072755-@6046357^6072755-,chr1,+,6046183^,6072755-,6046357^6072755-
chr1@+@6094485^6095323-@6094962^6095323-,chr1,+,6094485^,6095323-,6094962^6095323-
chr1@+@6097357^6098485-@6097555^6098485-,chr1,+,6097357^,6098485-,6097555^6098485-
chr1@-@6130204^6129069-@6130148^6129069-,chr1,-,6130204^,6129069-,6130148^6129069-
chr1@-@6129040^6121573-@6128838^6128609-6128499^6128218-6128046^6126746-6126572^6125858-6125766^6125612-6125524^6125233-6125100^6124661-6124517^6124107-6123948^6121573-,chr1,-,6129040^,6121573-,6128838^6128609-6128499^6128218-6128046^6126746-6126572^6125858-6125766^6125612-6125524^6125233-6125100^6124661-6124517^6124107-6123948^6121573-
chr1@+@6448802^6451603-@6449091^6451603-,chr1,+,6448802^,6451603-,6449091^6451603-
chr1@-@6464552^6462174-@6462863^6462666-6462629^6462174-,chr1,-,6464552^,6462174-,6462863^6462666-6462629^6462174-
chr1@-@6638295^6637504-@6638083^6637504-,chr1,-,6638295^,6637504-,6638083^6637504-
chr1@+@7810567^7819285-@7810588^7819285-,chr1,+,7810567^,7819285-,7810588^7819285-
chr1@-@8361460^8356246-@8360112^8359986-8359764^8358916-8358196^8356246-,chr1,-,8361460^,8356246-,8360112^8359986-8359764^8358916-8358196^8356246-
chr1@-@9731206^9730705-@9731122^9730705-,chr1,-,9731206^,9730705-,9731122^9730705-
chr1@-@10463058^10461702-@10462988^10461702-,chr1,-,10463058^,10461702-,10462988^10461702-
chr1@-@10949702^10948844-@10949624^10948844-,chr1,-,10949702^,10948844-,10949624^10948844-
chr1@+@11022241^11023161-@11022250^11023161-,chr1,+,11022241^,11023161-,11022250^11023161-
chr1@+@11022250^11023193-@11022268^11023193-,chr1,+,11022250^,11023193-,11022268^11023193-
chr1@+@11022241^11023193-@11022268^11023193-,chr1,+,11022241^,11023193-,11022268^11023193-
chr1@+@11022177^11023193-@11022268^11023193-,chr1,+,11022177^,11023193-,11022268^11023193-
chr1@+@11022241^11023193-@11022250^11023193-,chr1,+,11022241^,11023193-,11022250^11023193-
chr1@+@11022177^11023193-@11022250^11023193-,chr1,+,11022177^,11023193-,11022250^11023193-
chr1@+@11022177^11023193-@11022241^11023193-,chr1,+,11022177^,11023193-,11022241^11023193-
chr1@-@11077365^11076948-@11077330^11076948-,chr1,-,11077365^,11076948-,11077330^11076948-
chr1@+@11099814^11101801-@11099910^11101801-,chr1,+,11099814^,11101801-,11099910^11101801-
chr1@+@11658364^11658533-@11658393^11658533-,chr1,+,11658364^,11658533-,11658393^11658533-
chr1@+@11658364^11658736-@11658393^11658533-11658628^11658736-,chr1,+,11658364^,11658736-,11658393^11658533-11658628^11658736-
chr1@-@11676848^11676140-@11676809^11676140-,chr1,-,11676848^,11676140-,11676809^11676140-
chr1@+@11748589^11750077-@11748610^11750077-,chr1,+,11748589^,11750077-,11748610^11750077-
chr1@+@11826214^11827089-@11826224^11827089-,chr1,+,11826214^,11827089-,11826224^11827089-
chr1@+@13614405^13615905-@13614411^13615905-,chr1,+,13614405^,13615905-,13614411^13615905-
chr1@+@13732855^13742005-@13732882^13742005-,chr1,+,13732855^,13742005-,13732882^13742005-
chr1@-@14391459^14351025-@14391445^14390744-14390686^14351025-,chr1,-,14391459^,14351025-,14391445^14390744-14390686^14351025-
chr1@+@15383861^15391210-@15383930^15388051-15388131^15388346-15388422^15391210-,chr1,+,15383861^,15391210-,15383930^15388051-15388131^15388346-15388422^15391210-
chr1@-@15518250^15507907-@15518110^15507907-,chr1,-,15518250^,15507907-,15518110^15507907-
chr1@+@15566180^15567099-@15566299^15567099-,chr1,+,15566180^,15567099-,15566299^15567099-
chr1@+@15566180^15567099-@15566410^15567099-,chr1,+,15566180^,15567099-,15566410^15567099-
chr1@+@15566299^15567099-@15566410^15567099-,chr1,+,15566299^,15567099-,15566410^15567099-
chr1@+@15758329^15764493-@15758355^15764493-,chr1,+,15758329^,15764493-,15758355^15764493-
chr1@+@15758329^15764496-@15758355^15764496-,chr1,+,15758329^,15764496-,15758355^15764496-
chr1@+@15764547^15764964-@15764685^15764964-,chr1,+,15764547^,15764964-,15764685^15764964-
chr1@-@16017089^16015759-@16017074^16015759-,chr1,-,16017089^,16015759-,16017074^16015759-
chr1@-@16017089^16015759-@16017074^16015759-,chr1,-,16017089^,16015759-,16017074^16015759-
chr1@+@16026247^16026536-@16026257^16026536-,chr1,+,16026247^,16026536-,16026257^16026536-
chr1@+@16048514^16050516-@16048582^16049120-16049245^16049618-16049702^16049815-16049916^16050516-,chr1,+,16048514^,16050516-,16048582^16049120-16049245^16049618-16049702^16049815-16049916^16050516-
chr1@+@16440775^16443632-@16440853^16443632-,chr1,+,16440775^,16443632-,16440853^16443632-
chr1@+@16447942^16448060-@16447974^16448060-,chr1,+,16447942^,16448060-,16447974^16448060-
chr1@-@17004707^17004411-@17004692^17004411-,chr1,-,17004707^,17004411-,17004692^17004411-
chr1@-@17004707^17004408-@17004692^17004408-,chr1,-,17004707^,17004408-,17004692^17004408-
chr1@-@16986805^16986358-@16986463^16986358-,chr1,-,16986805^,16986358-,16986463^16986358-
chr1@-@17028654^17027865-@17028600^17027865-,chr1,-,17028654^,17027865-,17028600^17027865-
chr1@+@17718720^17721680-@17718791^17721680-,chr1,+,17718720^,17721680-,17718791^17721680-
chr1@-@19244906^19244015-@19244739^19244015-,chr1,-,19244906^,19244015-,19244739^19244015-
chr1@-@19244906^19243707-@19244739^19244015-19243950^19243707-,chr1,-,19244906^,19243707-,19244739^19244015-19243950^19243707-
chr1@-@19798137^19787117-@19798071^19787117-,chr1,-,19798137^,19787117-,19798071^19787117-
chr1@+@20069032^20070294-@20069034^20070294-,chr1,+,20069032^,20070294-,20069034^20070294-
chr1@+@20088901^20089789-@20088943^20089789-,chr1,+,20088901^,20089789-,20088943^20089789-
chr1@+@20303212^20310576-@20303349^20310576-,chr1,+,20303212^,20310576-,20303349^20310576-
chr1@-@20780350^20779911-@20780345^20779911-,chr1,-,20780350^,20779911-,20780345^20779911-
chr1@+@21478196^21479349-@21478307^21479349-,chr1,+,21478196^,21479349-,21478307^21479349-
chr1@+@21478227^21479349-@21478307^21479349-,chr1,+,21478227^,21479349-,21478307^21479349-
chr1@+@21478196^21479349-@21478227^21479349-,chr1,+,21478196^,21479349-,21478227^21479349-
chr1@-@21603835^21602913-@21603658^21602913-,chr1,-,21603835^,21602913-,21603658^21602913-
chr1@-@21736446^21729832-@21736430^21729832-,chr1,-,21736446^,21729832-,21736430^21729832-
chr1@+@22027534^22030280-@22028379^22030280-,chr1,+,22027534^,22030280-,22028379^22030280-
chr1@+@22025643^22030280-@22026119^22030280-,chr1,+,22025643^,22030280-,22026119^22030280-
chr1@+@22643714^22644011-@22643737^22644011-,chr1,+,22643714^,22644011-,22643737^22644011-
chr1@-@23435851^23434618-@23435723^23434618-,chr1,-,23435851^,23434618-,23435723^23434618-
chr1@-@23433425^23433272-@23433362^23433272-,chr1,-,23433425^,23433272-,23433362^23433272-
chr1@-@23433158^23431918-@23433077^23431918-,chr1,-,23433158^,23431918-,23433077^23431918-
chr1@-@23772272^23772166-@23772268^23772166-,chr1,-,23772272^,23772166-,23772268^23772166-
chr1@-@23796697^23796265-@23796509^23796265-,chr1,-,23796697^,23796265-,23796509^23796265-
chr1@-@24383902^24379823-@24383867^24379823-,chr1,-,24383902^,24379823-,24383867^24379823-
chr1@+@24595512^24600940-@24595517^24600940-,chr1,+,24595512^,24600940-,24595517^24600940-
chr1@+@24655123^24660719-@24655129^24660719-,chr1,+,24655123^,24660719-,24655129^24660719-
chr1@+@25758709^25763874-@25758713^25763638-25763639^25763874-,chr1,+,25758709^,25763874-,25758713^25763638-25763639^25763874-
chr1@-@25818403^25817713-@25818223^25817713-,chr1,-,25818403^,25817713-,25818223^25817713-
chr1@+@25820349^25823019-@25820414^25823019-,chr1,+,25820349^,25823019-,25820414^25823019-
chr1@+@26183414^26183729-@26183435^26183729-,chr1,+,26183414^,26183729-,26183435^26183729-
chr1@+@26201041^26201354-@26201075^26201354-,chr1,+,26201041^,26201354-,26201075^26201354-
chr1@+@26222756^26223377-@26222770^26223377-,chr1,+,26222756^,26223377-,26222770^26223377-
chr1@+@26223601^26225101-@26223753^26225101-,chr1,+,26223601^,26225101-,26223753^26225101-
chr1@+@26222756^26225101-@26222770^26223377-26223601^26225101-,chr1,+,26222756^,26225101-,26222770^26223377-26223601^26225101-
chr1@+@26432594^26432891-@26432641^26432891-,chr1,+,26432594^,26432891-,26432641^26432891-
chr1@+@26432492^26432891-@26432594^26432891-,chr1,+,26432492^,26432891-,26432594^26432891-
chr1@+@26432492^26432891-@26432641^26432891-,chr1,+,26432492^,26432891-,26432641^26432891-
chr1@+@26473527^26473703-@26473585^26473703-,chr1,+,26473527^,26473703-,26473585^26473703-
chr1@+@26473732^26474085-@26473817^26474085-,chr1,+,26473732^,26474085-,26473817^26474085-
chr1@-@27669245^27668535-@27669221^27668535-,chr1,-,27669245^,27668535-,27669221^27668535-
chr1@-@27669233^27668535-@27669221^27668535-,chr1,-,27669233^,27668535-,27669221^27668535-
chr1@-@27669245^27668535-@27669233^27668535-,chr1,-,27669245^,27668535-,27669233^27668535-
chr1@+@27669540^27675728-@27669586^27670312-27670429^27675728-,chr1,+,27669540^,27675728-,27669586^27670312-27670429^27675728-
chr1@+@27669540^27675728-@27669586^27675728-,chr1,+,27669540^,27675728-,27669586^27675728-
chr1@+@27669540^27675728-@27669586^27669907-27670026^27670312-27670429^27675728-,chr1,+,27669540^,27675728-,27669586^27669907-27670026^27670312-27670429^27675728-
chr1@+@27882077^27882513-@27882125^27882513-,chr1,+,27882077^,27882513-,27882125^27882513-
chr1@+@28457855^28459085-@28457859^28459085-,chr1,+,28457855^,28459085-,28457859^28459085-
chr1@+@28508901^28516725-@28508905^28516725-,chr1,+,28508901^,28516725-,28508905^28516725-
chr1@+@28516853^28529858-@28516867^28529858-,chr1,+,28516853^,28529858-,28516867^28529858-
chr1@+@28530573^28531803-@28530615^28531803-,chr1,+,28530573^,28531803-,28530615^28531803-
chr1@-@28581111^28580646-@28581094^28580646-,chr1,-,28581111^,28580646-,28581094^28580646-
chr1@-@28580560^28579981-@28580425^28579981-,chr1,-,28580560^,28579981-,28580425^28579981-
chr1@-@28579942^28579587-@28579912^28579587-,chr1,-,28579942^,28579587-,28579912^28579587-
chr1@+@28737797^28738259-@28737829^28738259-,chr1,+,28737797^,28738259-,28737829^28738259-
chr1@+@28738329^28742403-@28738338^28742403-,chr1,+,28738329^,28742403-,28738338^28742403-
chr1@+@28914768^28987431-@28914773^28987431-,chr1,+,28914768^,28987431-,28914773^28987431-
chr1@+@29068768^29069166-@29068783^29069166-,chr1,+,29068768^,29069166-,29068783^29069166-
chr1@+@29068768^29070364-@29068783^29070364-,chr1,+,29068768^,29070364-,29068783^29070364-
chr1@+@29068768^29070391-@29068783^29070391-,chr1,+,29068768^,29070391-,29068783^29070391-
chr1@-@29220838^29216812-@29220834^29216812-,chr1,-,29220838^,29216812-,29220834^29216812-
chr1@-@29220838^29216685-@29220717^29216685-,chr1,-,29220838^,29216685-,29220717^29216685-
chr1@+@29311544^29311643-@29311553^29311643-,chr1,+,29311544^,29311643-,29311553^29311643-
chr1@-@31059299^31028864-@31059204^31028864-,chr1,-,31059299^,31028864-,31059204^31028864-
chr1@-@31059299^31028864-@31059204^31055380-31055313^31028864-,chr1,-,31059299^,31028864-,31059204^31055380-31055313^31028864-
chr1@-@30968354^30967310-@30968297^30967310-,chr1,-,30968354^,30967310-,30968297^30967310-
chr1@-@30967167^30966278-@30967099^30966278-,chr1,-,30967167^,30966278-,30967099^30966278-
chr1@-@30950133^30945483-@30950127^30945483-,chr1,-,30950133^,30945483-,30950127^30945483-
chr1@-@30950133^30942123-@30950127^30945483-30945346^30942123-,chr1,-,30950133^,30942123-,30950127^30945483-30945346^30942123-
chr1@-@30941998^30941272-@30941922^30941272-,chr1,-,30941998^,30941272-,30941922^30941272-
chr1@+@31346740^31348829-@31346818^31348829-,chr1,+,31346740^,31348829-,31346818^31348829-
chr1@+@31346740^31364032-@31346818^31348829-31348974^31364032-,chr1,+,31346740^,31364032-,31346818^31348829-31348974^31364032-
chr1@+@31414064^31423693-@31414777^31415873-31415907^31423693-,chr1,+,31414064^,31423693-,31414777^31415873-31415907^31423693-
chr1@+@31645341^31651849-@31645382^31651849-,chr1,+,31645341^,31651849-,31645382^31651849-
chr1@+@31645138^31651849-@31645146^31651849-,chr1,+,31645138^,31651849-,31645146^31651849-
chr1@+@31656044^31656897-@31656185^31656897-,chr1,+,31656044^,31656897-,31656185^31656897-
chr1@-@31670602^31668855-@31670556^31668855-,chr1,-,31670602^,31668855-,31670556^31668855-
chr1@-@31665583^31665234-@31665504^31665234-,chr1,-,31665583^,31665234-,31665504^31665234-
chr1@-@31656400^31655502-@31656098^31655502-,chr1,-,31656400^,31655502-,31656098^31655502-
chr1@-@31735580^31733143-@31735183^31733143-,chr1,-,31735580^,31733143-,31735183^31733143-
chr1@-@31815348^31801705-@31813951^31801705-,chr1,-,31815348^,31801705-,31813951^31801705-
chr1@-@31796593^31794235-@31796590^31794235-,chr1,-,31796593^,31794235-,31796590^31794235-
chr1@+@32038036^32038552-@32038119^32038552-,chr1,+,32038036^,32038552-,32038119^32038552-
chr1@+@32156927^32157346-@32156945^32157346-,chr1,+,32156927^,32157346-,32156945^32157346-
chr1@+@32205723^32206154-@32205963^32206154-,chr1,+,32205723^,32206154-,32205963^32206154-
chr1@-@32634768^32634072-@32634702^32634072-,chr1,-,32634768^,32634072-,32634702^32634072-
chr1@-@32634768^32627544-@32634702^32634072-32633951^32633727-32633645^32631879-32631827^32627544-,chr1,-,32634768^,32627544-,32634702^32634072-32633951^32633727-32633645^32631879-32631827^32627544-
chr1@+@32825429^32826098-@32825485^32826098-,chr1,+,32825429^,32826098-,32825485^32826098-
chr1@-@33013207^33010833-@33012074^33011710-33011448^33010833-,chr1,-,33013207^,33010833-,33012074^33011710-33011448^33010833-
chr1@+@33082354^33083954-@33083142^33083954-,chr1,+,33082354^,33083954-,33083142^33083954-
chr1@+@33082354^33092050-@33083142^33083954-33084127^33092050-,chr1,+,33082354^,33092050-,33083142^33083954-33084127^33092050-
chr1@-@33354841^33354566-@33354838^33354566-,chr1,-,33354841^,33354566-,33354838^33354566-
chr1@-@33334185^33332404-@33334090^33332404-,chr1,-,33334185^,33332404-,33334090^33332404-
chr1@+@33870424^33870872-@33870494^33870872-,chr1,+,33870424^,33870872-,33870494^33870872-
chr1@+@33870424^33870872-@33870494^33870872-,chr1,+,33870424^,33870872-,33870494^33870872-
chr1@+@33870424^33870872-@33870494^33870872-,chr1,+,33870424^,33870872-,33870494^33870872-
chr1@+@35094009^35095819-@35094083^35095819-,chr1,+,35094009^,35095819-,35094083^35095819-
chr1@+@35558223^35559107-@35558484^35559107-,chr1,+,35558223^,35559107-,35558484^35559107-
chr1@-@36100195^36099487-@36100050^36099487-,chr1,-,36100195^,36099487-,36100050^36099487-
chr1@-@36367852^36361340-@36367848^36361340-,chr1,-,36367852^,36361340-,36367848^36361340-
chr1@-@36473764^36473622-@36473719^36473622-,chr1,-,36473764^,36473622-,36473719^36473622-
chr1@-@37629889^37616675-@37629568^37616675-,chr1,-,37629889^,37616675-,37629568^37616675-
chr1@-@37689658^37686452-@37689606^37686452-,chr1,-,37689658^,37686452-,37689606^37686452-
chr1@-@37718378^37715997-@37718376^37715997-,chr1,-,37718378^,37715997-,37718376^37715997-
chr1@-@37931913^37891454-@37931673^37891454-,chr1,-,37931913^,37891454-,37931673^37891454-
chr1@+@38513937^38516100-@38514011^38516100-,chr1,+,38513937^,38516100-,38514011^38516100-
chr1@-@39548862^39545857-@39547579^39545857-,chr1,-,39548862^,39545857-,39547579^39545857-
chr1@-@39523562^39522505-@39523558^39522505-,chr1,-,39523562^,39522505-,39523558^39522505-
chr1@-@39571234^39570002-@39571097^39570002-,chr1,-,39571234^,39570002-,39571097^39570002-
chr1@-@39564701^39564542-@39564686^39564542-,chr1,-,39564701^,39564542-,39564686^39564542-
chr1@-@39564471^39563922-@39564423^39563922-,chr1,-,39564471^,39563922-,39564423^39563922-
chr1@-@39564471^39563741-@39564423^39563741-,chr1,-,39564471^,39563741-,39564423^39563741-
chr1@-@39564471^39563741-@39564423^39563922-39563836^39563741-,chr1,-,39564471^,39563741-,39564423^39563922-39563836^39563741-
chr1@+@39741921^39743216-@39742031^39743216-,chr1,+,39741921^,39743216-,39742031^39743216-
chr1@+@39745498^39748903-@39748767^39748903-,chr1,+,39745498^,39748903-,39748767^39748903-
chr1@-@39850123^39848097-@39850119^39848097-,chr1,-,39850123^,39848097-,39850119^39848097-
chr1@-@40097115^40092507-@40097111^40092507-,chr1,-,40097115^,40092507-,40097111^40092507-
chr1@-@40092398^40091399-@40092045^40091399-,chr1,-,40092398^,40091399-,40092045^40091399-
chr1@-@40076842^40074183-@40076730^40074183-,chr1,-,40076842^,40074183-,40076730^40074183-
chr1@-@41046418^41041565-@41046407^41041565-,chr1,-,41046418^,41041565-,41046407^41041565-
chr1@+@42463890^42480461-@42463898^42480461-,chr1,+,42463890^,42480461-,42463898^42480461-
chr1@+@42463657^42480461-@42463890^42480461-,chr1,+,42463657^,42480461-,42463890^42480461-
chr1@+@42463657^42480461-@42463898^42480461-,chr1,+,42463657^,42480461-,42463898^42480461-
chr1@+@42498892^42536476-@42498916^42534889-42534989^42536476-,chr1,+,42498892^,42536476-,42498916^42534889-42534989^42536476-
chr1@+@42498892^42536476-@42498916^42529602-42529721^42534889-42534989^42536476-,chr1,+,42498892^,42536476-,42498916^42529602-42529721^42534889-42534989^42536476-
chr1@+@42498892^42536476-@42498916^42536476-,chr1,+,42498892^,42536476-,42498916^42536476-
chr1@+@42498892^42566296-@42498916^42521163-42521256^42566296-,chr1,+,42498892^,42566296-,42498916^42521163-42521256^42566296-
chr1@+@42498892^42566296-@42498916^42566296-,chr1,+,42498892^,42566296-,42498916^42566296-
chr1@+@42498892^42566296-@42498916^42506947-42507069^42566296-,chr1,+,42498892^,42566296-,42498916^42506947-42507069^42566296-
chr1@+@42498892^42566296-@42498916^42545410-42545579^42556156-42556405^42566296-,chr1,+,42498892^,42566296-,42498916^42545410-42545579^42556156-42556405^42566296-
chr1@+@42498892^42566296-@42498916^42536476-42536601^42566296-,chr1,+,42498892^,42566296-,42498916^42536476-42536601^42566296-
chr1@+@42498892^42566296-@42498916^42534889-42534989^42536476-42536601^42545410-42545579^42566296-,chr1,+,42498892^,42566296-,42498916^42534889-42534989^42536476-42536601^42545410-42545579^42566296-
chr1@+@42498892^42566296-@42498916^42536476-42536601^42545410-42545579^42566296-,chr1,+,42498892^,42566296-,42498916^42536476-42536601^42545410-42545579^42566296-
chr1@+@42498892^42566296-@42498916^42534889-42534989^42536476-42536601^42539173-42539310^42545410-42545579^42556156-42556405^42566296-,chr1,+,42498892^,42566296-,42498916^42534889-42534989^42536476-42536601^42539173-42539310^42545410-42545579^42556156-42556405^42566296-
chr1@+@42498892^42566296-@42498916^42536476-42536601^42539173-42539310^42545410-42545579^42556156-42556405^42566296-,chr1,+,42498892^,42566296-,42498916^42536476-42536601^42539173-42539310^42545410-42545579^42556156-42556405^42566296-
chr1@+@42498892^42566296-@42498916^42529602-42529721^42534889-42534989^42536476-42536601^42545410-42545579^42556156-42556405^42566296-,chr1,+,42498892^,42566296-,42498916^42529602-42529721^42534889-42534989^42536476-42536601^42545410-42545579^42556156-42556405^42566296-
chr1@+@42498892^42566296-@42498916^42534889-42534989^42536476-42536601^42545410-42545579^42556156-42556405^42558139-42558276^42566296-,chr1,+,42498892^,42566296-,42498916^42534889-42534989^42536476-42536601^42545410-42545579^42556156-42556405^42558139-42558276^42566296-
chr1@+@42659251^42659522-@42659370^42659522-,chr1,+,42659251^,42659522-,42659370^42659522-
chr1@-@42747272^42746852-@42747253^42746852-,chr1,-,42747272^,42746852-,42747253^42746852-
chr1@+@42767390^42774737-@42767624^42773546-42773649^42774737-,chr1,+,42767390^,42774737-,42767624^42773546-42773649^42774737-
chr1@+@42825735^42830444-@42825738^42830444-,chr1,+,42825735^,42830444-,42825738^42830444-
chr1@+@42835154^42835732-@42835165^42835732-,chr1,+,42835154^,42835732-,42835165^42835732-
chr1@+@42835760^42837158-@42835764^42837158-,chr1,+,42835760^,42837158-,42835764^42837158-
chr1@+@43152931^43156206-@43152979^43156206-,chr1,+,43152931^,43156206-,43152979^43156206-
chr1@+@43219537^43221372-@43219631^43221372-,chr1,+,43219537^,43221372-,43219631^43221372-
chr1@-@43365186^43364794-@43364928^43364794-,chr1,-,43365186^,43364794-,43364928^43364794-
chr1@-@43364619^43364460-@43364615^43364460-,chr1,-,43364619^,43364460-,43364615^43364460-
chr1@-@43364615^43364460-@43364542^43364460-,chr1,-,43364615^,43364460-,43364542^43364460-
chr1@-@43364619^43364460-@43364542^43364460-,chr1,-,43364619^,43364460-,43364542^43364460-
chr1@+@43419944^43420153-@43419961^43420153-,chr1,+,43419944^,43420153-,43419961^43420153-
chr1@-@43453413^43452319-@43453386^43452319-,chr1,-,43453413^,43452319-,43453386^43452319-
